fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
0,9,9,0,0,0,9,9
1,62,29,33,50,62,0,0
2,8,5,3,5,0,8,8
3,4,3,1,1,0,4,4
4,2,2,0,0,0,2,2
5,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1
7,1,1,0,0,0,1,1
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,3,2,1,1,0,3,3
14,1,1,0,0,0,1,2
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,1,1,0,0,0,1,2
18,5,4,1,1,0,5,8
19,1,1,0,0,0,1,2
20,4,3,1,1,0,4,4
21,1,1,0,0,0,1,2
22,1,1,0,0,0,1,1
23,2,2,0,0,0,2,2
24,0,0,0,0,0,0,0
25,3,2,1,1,0,3,3
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,1,1,0,0,0,1,3
37,0,0,0,0,0,0,0
38,1,1,0,0,0,1,1
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,1,1,0,0,0,1,2
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
