Id,Label,Publication,V,P,DOI,Title,Publication_Year,Document_Type,WoS_ID,Citation_context,Explanans,Explanadum,Combined_Title_Classification,Serum_cholesterol _(SC),Blood_Pressure_(BP),Coffee_(C) ,Diet_(D),Smoking_(S),Alcohol_(A),Physical_Activity_(PA),Body_Fatness_(BF),Indegree,Outdegree,Main_component,Cluster,Cluster_Name
1,PAUL O, CIRCULATION, V28, P20, 10.1161/01.CIR.28.1.20,A LONGITUDINAL STUDY OF CORONARY HEART DISEASE,1963,Article,WOS:A19638848A00008,Source paper,,,,,,,,,,,,444,0,No,,
2,CHAPMAN JM, J CHRON DIS, V17, P933, 10.1016/0021-9681(64)90163-8,INTERRELATIONSHIP OF SERUM CHOLESTEROL HYPERTENSION BODY WEIGHT + RISK OF CORONARY DISEASE - RESULTS OF 1ST 10 YEARS FOLLOW-UP IN LOS ANGELES HEART STUDY,1964,Article,WOS:A19644339B00001,Yes,BLOOD LIPIDS|HYPERTENSION|BODY WEIGHT,CHD,BLOOD LIPIDS|HYPERTENSION|BODY WEIGHT,SC,BP,,,,,,BF,82,1,Yes,0,Serum cholesterol and Unspecified CHD 
3,YUDKIN J, LANCET, V2, P6,,LEVELS OF DIETARY SUCROSE IN PATIENTS WITH OCCLUSIVE ATHEROSCLEROTIC DISEASE,1964,Article,WOS:A19647822B00056,Yes,DIET,CHD,DIET,SC,BP,C,D,S,,,BF,31,1,Yes,2,Caffeine 
4,OSTFELD AM, J CHRON DIS, V17, P265, 10.1016/0021-9681(64)90154-7,PROSPECTIVE STUDY OF RELATIONSHIP BETWEEN PERSONALITY + CORONARY HEART DISEASE,1964,Article,WOS:A19644342B00004,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,21,1,Yes,7,Psychosocial
5,KERSHBAUM A, JAMA-J AM MED ASSOC, V187, P32,,CIGARETTE SMOKING + BLOOD LIPIDS,1964,Article,WOS:A19643432B00024,Yes,SMOKING,BLOOD LIPIDS,SMOKING|BLOOD LIPIDS,,,,,S,,,,5,1,Yes,8,Smoking
6,BLISS HA, ARCH ENVIRON HEALTH, V9, P201, 10.1080/00039896.1964.10663820,CALORIC EXPENDITURE AT 2 TYPES OF FACTORY WORK,1964,Article,WOS:A1964AU76700002,Yes,EXERCISE,UNSPECIFIED,EXERCISE,,,,,,,,,3,1,Yes,5,Physical activity 
7,LOVELL RRH, BRIT MED J, V2, P465, 10.1136/BMJ.2.5407.465,SOME SEQUELS TO MYOCARDIAL INFARCTION + THEIR TREATMENT,1964,Article,WOS:A19647793A00435,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,3,1,Yes,5,Physical activity 
8,YUDKIN J, LANCET, V2, P478,,DIETARY FAT + DIETARY SUGAR,1964,Letter,WOS:A19647823B00501,Yes,DIET,UNSPECIFIED,DIET,,,,,S,,,,2,1,Yes,2,Caffeine 
9,[ANONYMOUS], BMJ-BRIT MED J, V2, P703,,WORK AFTER CORONARY,1964,Editorial Material,WOS:A19647794A00023,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,1,2,Yes,5,Physical activity 
10,[ANONYMOUS], LANCET, V2, P628,,CORONARY-ARTERY DISEASE IN YOUNG,1964,Editorial Material,WOS:A19647824B00002,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,D,,,,,0,1,No,,
11,MARQUIS RM, BRIT MED J, V2, P874, 10.1136/BMJ.2.5413.874,WORK AFTER A CORONARY,1964,Letter,WOS:A19647794A00446,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,D,,,,,0,2,Yes,2,Caffeine 
12,SHILLINGFORD JP, BRIT MED J, V2, P361,,CASE OF ISCHAEMIC HEART DISEASE WITH PULMONARY OEDEMA,1964,Discussion,WOS:A19647793A00547,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,D,,,,,0,1,No,,
13,WAKERLIN GE, CIRCULATION, V29, P651, 10.1161/01.CIR.29.5.651,CIGARETTE SMOKING + ROLE OF PHYSICIAN,1964,Editorial Material,WOS:A19648859A00017,Yes,SMOKING,UNSPECIFIED,SMOKING,,,,,S,,,,0,2,Yes,8,Smoking
14,THOMAS CB, B JOHNS HOPKINS HOSP, V115, P174,,PRECURSORS OF HYPERTENSION + CORONARY DISEASE AMONG HEALTHY MEDICAL STUDENTS - DISCRIMINANT FUNCTION ANALYSIS .I. USING SMOKING HABITS AS CRITERION,1964,Article,WOS:A19646363A00003,Inaccessible,,,,,,,,,,,,8,1,Yes,7,Psychosocial
